description;link_page;link_pdf;name_pdf;date_save_pdf;pdf_ok
Despacho (extrato) n.º 8065/2023 - Diário da República n.º 152/2023, Série II de 2023-08-07;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8065-2023-216769598;https://files.diariodarepublica.pt/2s/2023/08/152000000/0004300043.pdf;despacho_8065-2023_dr_152-2023.pdf;01/11/2023 00:07;True
Despacho (extrato) n.º 7186/2023 - Diário da República n.º 130/2023, Série II de 2023-07-06;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/7186-2023-215269478;https://files.diariodarepublica.pt/2s/2023/07/130000000/0007200072.pdf;despacho_7186-2023_dr_130-2023.pdf;01/11/2023 00:07;True
Despacho (extrato) n.º 6228/2023 - Diário da República n.º 109/2023, Série II de 2023-06-06;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6228-2023-214042077;https://files.diariodarepublica.pt/2s/2023/06/109000000/0002900029.pdf;despacho_6228-2023_dr_109-2023.pdf;01/11/2023 00:07;True
Despacho (extrato) n.º 6227/2023 - Diário da República n.º 109/2023, Série II de 2023-06-06;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6227-2023-214042076;https://files.diariodarepublica.pt/2s/2023/06/109000000/0002800028.pdf;despacho_6227-2023_dr_109-2023.pdf;01/11/2023 00:07;True
Despacho (extrato) n.º 6226/2023 - Diário da República n.º 109/2023, Série II de 2023-06-06;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6226-2023-214042075;https://files.diariodarepublica.pt/2s/2023/06/109000000/0002700027.pdf;despacho_6226-2023_dr_109-2023.pdf;01/11/2023 00:07;True
Despacho (extrato) n.º 6225/2023 - Diário da República n.º 109/2023, Série II de 2023-06-06;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6225-2023-213968674;https://files.diariodarepublica.pt/2s/2023/06/109000000/0002600026.pdf;despacho_6225-2023_dr_109-2023.pdf;01/11/2023 00:07;True
Despacho (extrato) n.º 8726/2023 - Diário da República n.º 167/2023, Série II de 2023-08-29;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8726-2023-221029289;https://files.diariodarepublica.pt/2s/2023/08/167000000/0004600046.pdf;despacho_8726-2023_dr_167-2023.pdf;01/11/2023 00:07;True
Despacho (extrato) n.º 8725/2023 - Diário da República n.º 167/2023, Série II de 2023-08-29;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8725-2023-221029288;https://files.diariodarepublica.pt/2s/2023/08/167000000/0004500045.pdf;despacho_8725-2023_dr_167-2023.pdf;01/11/2023 00:07;True
Despacho (extrato) n.º 8724/2023 - Diário da República n.º 167/2023, Série II de 2023-08-29;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8724-2023-221029287;https://files.diariodarepublica.pt/2s/2023/08/167000000/0004400044.pdf;despacho_8724-2023_dr_167-2023.pdf;01/11/2023 00:07;True
Despacho (extrato) n.º 8723/2023 - Diário da República n.º 167/2023, Série II de 2023-08-29;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8723-2023-221029286;https://files.diariodarepublica.pt/2s/2023/08/167000000/0004300043.pdf;despacho_8723-2023_dr_167-2023.pdf;01/11/2023 00:07;True
Despacho (extrato) n.º 8722/2023 - Diário da República n.º 167/2023, Série II de 2023-08-29;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8722-2023-221029285;https://files.diariodarepublica.pt/2s/2023/08/167000000/0004200042.pdf;despacho_8722-2023_dr_167-2023.pdf;01/11/2023 00:07;True
Despacho (extrato) n.º 8721/2023 - Diário da República n.º 167/2023, Série II de 2023-08-29;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8721-2023-221029284;https://files.diariodarepublica.pt/2s/2023/08/167000000/0004100041.pdf;despacho_8721-2023_dr_167-2023.pdf;01/11/2023 00:07;True
Despacho (extrato) n.º 8720/2023 - Diário da República n.º 167/2023, Série II de 2023-08-29;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8720-2023-221029283;https://files.diariodarepublica.pt/2s/2023/08/167000000/0004000040.pdf;despacho_8720-2023_dr_167-2023.pdf;01/11/2023 00:07;True
Despacho (extrato) n.º 8719/2023 - Diário da República n.º 167/2023, Série II de 2023-08-29;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8719-2023-221029282;https://files.diariodarepublica.pt/2s/2023/08/167000000/0003900039.pdf;despacho_8719-2023_dr_167-2023.pdf;01/11/2023 00:07;True
Despacho (extrato) n.º 8718/2023 - Diário da República n.º 167/2023, Série II de 2023-08-29;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8718-2023-221029281;https://files.diariodarepublica.pt/2s/2023/08/167000000/0003800038.pdf;despacho_8718-2023_dr_167-2023.pdf;01/11/2023 00:07;True
Despacho (extrato) n.º 8717/2023 - Diário da República n.º 167/2023, Série II de 2023-08-29;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8717-2023-221029280;https://files.diariodarepublica.pt/2s/2023/08/167000000/0003700037.pdf;despacho_8717-2023_dr_167-2023.pdf;01/11/2023 00:07;True
Despacho (extrato) n.º 8716/2023 - Diário da República n.º 167/2023, Série II de 2023-08-29;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8716-2023-221029279;https://files.diariodarepublica.pt/2s/2023/08/167000000/0003600036.pdf;despacho_8716-2023_dr_167-2023.pdf;01/11/2023 00:07;True
Despacho (extrato) n.º 8715/2023 - Diário da República n.º 167/2023, Série II de 2023-08-29;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8715-2023-221029278;https://files.diariodarepublica.pt/2s/2023/08/167000000/0003500035.pdf;despacho_8715-2023_dr_167-2023.pdf;01/11/2023 00:07;True
Despacho (extrato) n.º 8714/2023 - Diário da República n.º 167/2023, Série II de 2023-08-29;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8714-2023-221029277;https://files.diariodarepublica.pt/2s/2023/08/167000000/0003400034.pdf;despacho_8714-2023_dr_167-2023.pdf;01/11/2023 00:07;True
Despacho (extrato) n.º 8477/2023 - Diário da República n.º 162/2023, Série II de 2023-08-22;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8477-2023-220169692;https://files.diariodarepublica.pt/2s/2023/08/162000000/0003600036.pdf;despacho_8477-2023_dr_162-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8374/2023 - Diário da República n.º 160/2023, Série II de 2023-08-18;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8374-2023-220059110;https://files.diariodarepublica.pt/2s/2023/08/160000000/0004500045.pdf;despacho_8374-2023_dr_160-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8373/2023 - Diário da República n.º 160/2023, Série II de 2023-08-18;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8373-2023-220059109;https://files.diariodarepublica.pt/2s/2023/08/160000000/0004400044.pdf;despacho_8373-2023_dr_160-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8372/2023 - Diário da República n.º 160/2023, Série II de 2023-08-18;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8372-2023-220059108;https://files.diariodarepublica.pt/2s/2023/08/160000000/0004300043.pdf;despacho_8372-2023_dr_160-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8371/2023 - Diário da República n.º 160/2023, Série II de 2023-08-18;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8371-2023-220059107;https://files.diariodarepublica.pt/2s/2023/08/160000000/0004200042.pdf;despacho_8371-2023_dr_160-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8370/2023 - Diário da República n.º 160/2023, Série II de 2023-08-18;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8370-2023-220059106;https://files.diariodarepublica.pt/2s/2023/08/160000000/0004100041.pdf;despacho_8370-2023_dr_160-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8369/2023 - Diário da República n.º 160/2023, Série II de 2023-08-18;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8369-2023-220059105;https://files.diariodarepublica.pt/2s/2023/08/160000000/0004000040.pdf;despacho_8369-2023_dr_160-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8368/2023 - Diário da República n.º 160/2023, Série II de 2023-08-18;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8368-2023-220059104;https://files.diariodarepublica.pt/2s/2023/08/160000000/0003900039.pdf;despacho_8368-2023_dr_160-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8367/2023 - Diário da República n.º 160/2023, Série II de 2023-08-18;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8367-2023-220059103;https://files.diariodarepublica.pt/2s/2023/08/160000000/0003800038.pdf;despacho_8367-2023_dr_160-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8105/2023 - Diário da República n.º 153/2023, Série II de 2023-08-08;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8105-2023-216770743;https://files.diariodarepublica.pt/2s/2023/08/153000000/0003500035.pdf;despacho_8105-2023_dr_153-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8104/2023 - Diário da República n.º 153/2023, Série II de 2023-08-08;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8104-2023-216770742;https://files.diariodarepublica.pt/2s/2023/08/153000000/0003400034.pdf;despacho_8104-2023_dr_153-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8103/2023 - Diário da República n.º 153/2023, Série II de 2023-08-08;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8103-2023-216770741;https://files.diariodarepublica.pt/2s/2023/08/153000000/0003300033.pdf;despacho_8103-2023_dr_153-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8102/2023 - Diário da República n.º 153/2023, Série II de 2023-08-08;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8102-2023-216770740;https://files.diariodarepublica.pt/2s/2023/08/153000000/0003200032.pdf;despacho_8102-2023_dr_153-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8101/2023 - Diário da República n.º 153/2023, Série II de 2023-08-08;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8101-2023-216770739;https://files.diariodarepublica.pt/2s/2023/08/153000000/0003100031.pdf;despacho_8101-2023_dr_153-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8100/2023 - Diário da República n.º 153/2023, Série II de 2023-08-08;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8100-2023-216770738;https://files.diariodarepublica.pt/2s/2023/08/153000000/0003000030.pdf;despacho_8100-2023_dr_153-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8098/2023 - Diário da República n.º 153/2023, Série II de 2023-08-08;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8098-2023-216770736;https://files.diariodarepublica.pt/2s/2023/08/153000000/0002800028.pdf;despacho_8098-2023_dr_153-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8097/2023 - Diário da República n.º 153/2023, Série II de 2023-08-08;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8097-2023-216770735;https://files.diariodarepublica.pt/2s/2023/08/153000000/0002700027.pdf;despacho_8097-2023_dr_153-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8096/2023 - Diário da República n.º 153/2023, Série II de 2023-08-08;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8096-2023-216770734;https://files.diariodarepublica.pt/2s/2023/08/153000000/0002600026.pdf;despacho_8096-2023_dr_153-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8067/2023 - Diário da República n.º 152/2023, Série II de 2023-08-07;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8067-2023-216769600;https://files.diariodarepublica.pt/2s/2023/08/152000000/0004500045.pdf;despacho_8067-2023_dr_152-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8066/2023 - Diário da República n.º 152/2023, Série II de 2023-08-07;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8066-2023-216769599;https://files.diariodarepublica.pt/2s/2023/08/152000000/0004400044.pdf;despacho_8066-2023_dr_152-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8064/2023 - Diário da República n.º 152/2023, Série II de 2023-08-07;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8064-2023-216769597;https://files.diariodarepublica.pt/2s/2023/08/152000000/0004200042.pdf;despacho_8064-2023_dr_152-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8063/2023 - Diário da República n.º 152/2023, Série II de 2023-08-07;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8063-2023-216769596;https://files.diariodarepublica.pt/2s/2023/08/152000000/0004100041.pdf;despacho_8063-2023_dr_152-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8062/2023 - Diário da República n.º 152/2023, Série II de 2023-08-07;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8062-2023-216769595;https://files.diariodarepublica.pt/2s/2023/08/152000000/0004000040.pdf;despacho_8062-2023_dr_152-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8061/2023 - Diário da República n.º 152/2023, Série II de 2023-08-07;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8061-2023-216769594;https://files.diariodarepublica.pt/2s/2023/08/152000000/0003900039.pdf;despacho_8061-2023_dr_152-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8060/2023 - Diário da República n.º 152/2023, Série II de 2023-08-07;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8060-2023-216769593;https://files.diariodarepublica.pt/2s/2023/08/152000000/0003800038.pdf;despacho_8060-2023_dr_152-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8059/2023 - Diário da República n.º 152/2023, Série II de 2023-08-07;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8059-2023-216769592;https://files.diariodarepublica.pt/2s/2023/08/152000000/0003700037.pdf;despacho_8059-2023_dr_152-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8058/2023 - Diário da República n.º 152/2023, Série II de 2023-08-07;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8058-2023-216769591;https://files.diariodarepublica.pt/2s/2023/08/152000000/0003600036.pdf;despacho_8058-2023_dr_152-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 8057/2023 - Diário da República n.º 152/2023, Série II de 2023-08-07;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8057-2023-216769590;https://files.diariodarepublica.pt/2s/2023/08/152000000/0003500035.pdf;despacho_8057-2023_dr_152-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 8056/2023 - Diário da República n.º 152/2023, Série II de 2023-08-07;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8056-2023-216769589;https://files.diariodarepublica.pt/2s/2023/08/152000000/0003400034.pdf;despacho_8056-2023_dr_152-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 8055/2023 - Diário da República n.º 152/2023, Série II de 2023-08-07;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8055-2023-216769588;https://files.diariodarepublica.pt/2s/2023/08/152000000/0003300033.pdf;despacho_8055-2023_dr_152-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 8054/2023 - Diário da República n.º 152/2023, Série II de 2023-08-07;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8054-2023-216769587;https://files.diariodarepublica.pt/2s/2023/08/152000000/0003200032.pdf;despacho_8054-2023_dr_152-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 7544/2023 - Diário da República n.º 140/2023, Série II de 2023-07-20;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/7544-2023-215919312;https://files.diariodarepublica.pt/2s/2023/07/140000000/0003000030.pdf;despacho_7544-2023_dr_140-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 7543/2023 - Diário da República n.º 140/2023, Série II de 2023-07-20;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/7543-2023-215919311;https://files.diariodarepublica.pt/2s/2023/07/140000000/0002900029.pdf;despacho_7543-2023_dr_140-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 7512/2023 - Diário da República n.º 139/2023, Série II de 2023-07-19;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/7512-2023-215872904;https://files.diariodarepublica.pt/2s/2023/07/139000000/0005400054.pdf;despacho_7512-2023_dr_139-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 7473/2023 - Diário da República n.º 138/2023, Série II de 2023-07-18;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/7473-2023-215717369;https://files.diariodarepublica.pt/2s/2023/07/138000000/0003400034.pdf;despacho_7473-2023_dr_138-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 7472/2023 - Diário da República n.º 138/2023, Série II de 2023-07-18;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/7472-2023-215717368;https://files.diariodarepublica.pt/2s/2023/07/138000000/0003300033.pdf;despacho_7472-2023_dr_138-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 7471/2023 - Diário da República n.º 138/2023, Série II de 2023-07-18;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/7471-2023-215717367;https://files.diariodarepublica.pt/2s/2023/07/138000000/0003200032.pdf;despacho_7471-2023_dr_138-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 7470/2023 - Diário da República n.º 138/2023, Série II de 2023-07-18;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/7470-2023-215717366;https://files.diariodarepublica.pt/2s/2023/07/138000000/0003100031.pdf;despacho_7470-2023_dr_138-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 7328/2023 - Diário da República n.º 134/2023, Série II de 2023-07-12;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/7328-2023-215527461;https://files.diariodarepublica.pt/2s/2023/07/134000000/0006000060.pdf;despacho_7328-2023_dr_134-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 7193/2023 - Diário da República n.º 130/2023, Série II de 2023-07-06;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/7193-2023-215269485;https://files.diariodarepublica.pt/2s/2023/07/130000000/0007900079.pdf;despacho_7193-2023_dr_130-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 7192/2023 - Diário da República n.º 130/2023, Série II de 2023-07-06;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/7192-2023-215269484;https://files.diariodarepublica.pt/2s/2023/07/130000000/0007800078.pdf;despacho_7192-2023_dr_130-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 7191/2023 - Diário da República n.º 130/2023, Série II de 2023-07-06;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/7191-2023-215269483;https://files.diariodarepublica.pt/2s/2023/07/130000000/0007700077.pdf;despacho_7191-2023_dr_130-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 7190/2023 - Diário da República n.º 130/2023, Série II de 2023-07-06;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/7190-2023-215269482;https://files.diariodarepublica.pt/2s/2023/07/130000000/0007600076.pdf;despacho_7190-2023_dr_130-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 7189/2023 - Diário da República n.º 130/2023, Série II de 2023-07-06;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/7189-2023-215269481;https://files.diariodarepublica.pt/2s/2023/07/130000000/0007500075.pdf;despacho_7189-2023_dr_130-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 7187/2023 - Diário da República n.º 130/2023, Série II de 2023-07-06;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/7187-2023-215269479;https://files.diariodarepublica.pt/2s/2023/07/130000000/0007300073.pdf;despacho_7187-2023_dr_130-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 6933/2023 - Diário da República n.º 125/2023, Série II de 2023-06-29;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6933-2023-214957143;https://files.diariodarepublica.pt/2s/2023/06/125000000/0003700037.pdf;despacho_6933-2023_dr_125-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 6932/2023 - Diário da República n.º 125/2023, Série II de 2023-06-29;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6932-2023-214957142;https://files.diariodarepublica.pt/2s/2023/06/125000000/0003600036.pdf;despacho_6932-2023_dr_125-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 6855/2023 - Diário da República n.º 124/2023, Série II de 2023-06-28;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6855-2023-214926226;https://files.diariodarepublica.pt/2s/2023/06/124000000/0009300093.pdf;despacho_6855-2023_dr_124-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 6854/2023 - Diário da República n.º 124/2023, Série II de 2023-06-28;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6854-2023-214926225;https://files.diariodarepublica.pt/2s/2023/06/124000000/0009200092.pdf;despacho_6854-2023_dr_124-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 6853/2023 - Diário da República n.º 124/2023, Série II de 2023-06-28;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6853-2023-214926224;https://files.diariodarepublica.pt/2s/2023/06/124000000/0009100091.pdf;despacho_6853-2023_dr_124-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 6852/2023 - Diário da República n.º 124/2023, Série II de 2023-06-28;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6852-2023-214926223;https://files.diariodarepublica.pt/2s/2023/06/124000000/0009000090.pdf;despacho_6852-2023_dr_124-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 6851/2023 - Diário da República n.º 124/2023, Série II de 2023-06-28;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6851-2023-214926222;https://files.diariodarepublica.pt/2s/2023/06/124000000/0008900089.pdf;despacho_6851-2023_dr_124-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 6850/2023 - Diário da República n.º 124/2023, Série II de 2023-06-28;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6850-2023-214926221;https://files.diariodarepublica.pt/2s/2023/06/124000000/0008800088.pdf;despacho_6850-2023_dr_124-2023.pdf;01/11/2023 00:10;True
Despacho (extrato) n.º 6849/2023 - Diário da República n.º 124/2023, Série II de 2023-06-28;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6849-2023-214926220;https://files.diariodarepublica.pt/2s/2023/06/124000000/0008700087.pdf;despacho_6849-2023_dr_124-2023.pdf;01/11/2023 00:10;True
Despacho (extrato) n.º 6848/2023 - Diário da República n.º 124/2023, Série II de 2023-06-28;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6848-2023-214926219;https://files.diariodarepublica.pt/2s/2023/06/124000000/0008600086.pdf;despacho_6848-2023_dr_124-2023.pdf;01/11/2023 00:10;True
Despacho (extrato) n.º 6531/2023 - Diário da República n.º 116/2023, Série II de 2023-06-16;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6531-2023-214476389;https://files.diariodarepublica.pt/2s/2023/06/116000000/0004400044.pdf;despacho_6531-2023_dr_116-2023.pdf;01/11/2023 00:10;True
Despacho (extrato) n.º 6530/2023 - Diário da República n.º 116/2023, Série II de 2023-06-16;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6530-2023-214476388;https://files.diariodarepublica.pt/2s/2023/06/116000000/0004300043.pdf;despacho_6530-2023_dr_116-2023.pdf;01/11/2023 00:10;True
Despacho (extrato) n.º 6529/2023 - Diário da República n.º 116/2023, Série II de 2023-06-16;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6529-2023-214476387;https://files.diariodarepublica.pt/2s/2023/06/116000000/0004100042.pdf;despacho_6529-2023_dr_116-2023.pdf;01/11/2023 00:10;True
Despacho (extrato) n.º 6528/2023 - Diário da República n.º 116/2023, Série II de 2023-06-16;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6528-2023-214476386;https://files.diariodarepublica.pt/2s/2023/06/116000000/0004000040.pdf;despacho_6528-2023_dr_116-2023.pdf;01/11/2023 00:10;True
Despacho (extrato) n.º 6527/2023 - Diário da República n.º 116/2023, Série II de 2023-06-16;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6527-2023-214476385;https://files.diariodarepublica.pt/2s/2023/06/116000000/0003900039.pdf;despacho_6527-2023_dr_116-2023.pdf;01/11/2023 00:10;True
Despacho (extrato) n.º 6526/2023 - Diário da República n.º 116/2023, Série II de 2023-06-16;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6526-2023-214476384;https://files.diariodarepublica.pt/2s/2023/06/116000000/0003800038.pdf;despacho_6526-2023_dr_116-2023.pdf;01/11/2023 00:10;True
Despacho (extrato) n.º 6525/2023 - Diário da República n.º 116/2023, Série II de 2023-06-16;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6525-2023-214476383;https://files.diariodarepublica.pt/2s/2023/06/116000000/0003700037.pdf;despacho_6525-2023_dr_116-2023.pdf;01/11/2023 00:10;True
Despacho (extrato) n.º 6573/2023 - Diário da República n.º 117/2023, Série II de 2023-06-19;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6573-2023-214455662;https://files.diariodarepublica.pt/2s/2023/06/117000000/0003800038.pdf;despacho_6573-2023_dr_117-2023.pdf;01/11/2023 00:10;True
Despacho (extrato) n.º 6572/2023 - Diário da República n.º 117/2023, Série II de 2023-06-19;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6572-2023-214455661;https://files.diariodarepublica.pt/2s/2023/06/117000000/0003700037.pdf;despacho_6572-2023_dr_117-2023.pdf;01/11/2023 00:10;True
